count,author
1,FischersFritz
1,This is also Sven Manguard
171,MerlIwBot
1,Wagino 20100516
203,Sk!dbot
49,BeneBot*
2,KLBot2
5,JAnDbot
2,EmausBot
2,BotMultichill
18,Dexbot
2,Sjoerddebruin
32,GZWDer (flood)
1,Nikosguard
21,Daniel Mietchen
9,Okkn
1,Veracious
1,Athikhun.suw
48,Charles Matthews
720,SR5
2737,TiagoLubiana
1,Blackpeartree
1,SCIdude
1,Utataneko
1,Aachen1196
6,Jc86035
3,Strobilomyces
1,Artix Kreiger
9,ProteinBoxBot
2,Lmichan
2,Emw
1,ShinePhantom
1,Leyo
1,Sokoljan
1,Ilacpod
1,Bunyk
1,Achim Raschka
3,Frettie
2,Jmarchn
1,Vojtěch Dostál
1,Romaine
3,Research Bot
1,علاء
1,180.11.39.218
3,Modeum
1,Bluerasberry
1,NuriaQueralt
1,MechQuester
1,Fedor Babkin
1,Jeblad
1,EVI.ERC
1,Luizpuodzius
1,Lord Bolingbroke
1,RomanM82
7,Nickpolk
1,Nullzerobot
1,Kaguya-Taketori
1,Shaishyy
2,Gepetito
1,Chabe01
1,Andrawaag
1,TheSubterranean
1,Outermayo
